Tên Sản Phẩm,Giá (VNĐ),Đã Bán,Tên Shop,Shop ID,Link Sản Phẩm
LENOVO THINKPAD X260 I5 6300U/ RAM 8GB/ SSD 256G/ 12.5 inch,3650000,4,Shop_ID_127628226,127628226,https://shopee.vn/LENOVO-THINKPAD-X260-I5-6300U-RAM-8GB-SSD-256G-125-inch-i.127628226.25525180423
Laptop mini dell 7280 core i5 core i7 ram 8G màn 12.5 inch mỏng nhẹ bền đẹp.,4940000,1,Shop_ID_10859239,10859239,https://shopee.vn/Laptop-mini-dell-7280-core-i5-core-i7-ram-8G-mn-125-inch-mng-nh-bn-p-i.10859239.23712812655
"[Chỉ GH tận nơi] Laptop HP 250 G10 i5-1334U/16GB/512GB/15.6"" FHD/Win11 (B3WA8AT)",16570000,23,Shop_ID_1431261217,1431261217,https://shopee.vn/Ch-GH-tn-ni-Laptop-HP-250-G10-i5-1334U16GB512GB156-FHDWin11-B3WA8AT-i.1431261217.55751109615
"ACER Predator Helios Neo 16 - Core i7-13700HX RAM 16G SSD 512G RTX 4060 8GB  Màn 16"" 2K 165Hz",24300000,27,Shop_ID_1326205420,1326205420,https://shopee.vn/ACER-Predator-Helios-Neo-16---Core-i7-13700HX-RAM-16G-SSD-512G-RTX-4060-8GB--Mn-16-2K-165Hz-i.1326205420.27766423223
"Laptop Lenovo Gaming LOQ E 15IAX9E i5 12450HX/16GB/512GB/15.6""FHD/RTX 3050 6GB/Win 11",22490000,163,Shop_ID_1431261217,1431261217,https://shopee.vn/Laptop-Lenovo-Gaming-LOQ-E-15IAX9E-i5-12450HX16GB512GB156FHDRTX-3050-6GBWin-11-i.1431261217.43405771246
Laptop Asus GL552 Gaming core i7 vỏ nhôm cao cấp - Chính hãng,5900000,0,Shop_ID_96461069,96461069,https://shopee.vn/Laptop-Asus-GL552-Gaming-core-i7-v-nhm-cao-cp---Chnh-hng-i.96461069.7249366953
HP PROBOOK 450 G5 CORE I5 7200U RAM 8G SSD 256G 15.6INCH GIÁ RẺ,4990000,4,Shop_ID_79999990,79999990,https://shopee.vn/HP-PROBOOK-450-G5-CORE-I5-7200U-RAM-8G-SSD-256G-156INCH-GI-R-i.79999990.24120630833
"Laptop văn phòng HP 430 G5/G6 i5-8250u, ram 8GB/16GB, SSD 256GB/512GB, màn 13,3"" HD nhỏ gọn",5000000,19,Shop_ID_203002179,203002179,https://shopee.vn/Laptop-vn-phng-HP-430-G5G6-i5-8250u-ram-8GB16GB-SSD-256GB512GB-mn-133-HD-nh-gn-i.203002179.29740480817
Laptop Dell Inspiron 14 5430 | Intel® Core™ i5-1335U|DDR5 8GB | SSD NVME 256G |15.6 inh FHD,9800000,0,Shop_ID_1001261387,1001261387,https://shopee.vn/Laptop-Dell-Inspiron-14-5430--Intel-Core-i5-1335UDDR5-8GB--SSD-NVME-256G-156-inh-FHD-i.1001261387.46501198888
"Laptop Cũ Rẻ Các Hãng Ram 8Gb/SSD Core i5 - i7: Dell, HP, Asus,.. Máy Đẹp Đủ Sạc,..Dùng Full Chức Năng",2000000,5,Shop_ID_52087365,52087365,https://shopee.vn/Laptop-C-R-Cc-Hng-Ram-8GbSSD-Core-i5---i7-Dell-HP-Asus-My-p--ScDng-Full-Chc-Nng-i.52087365.19384199766
[HCM] Laptop Cũ Asus X550LD Core I5-4210U/ Ram 8GB/ SSD 240GB/ VGA Nvidia GeForce 820M/ LCD 15.6'' inch.,3900000,0,Shop_ID_1507141073,1507141073,https://shopee.vn/HCM-Laptop-C-Asus-X550LD-Core-I5-4210U-Ram-8GB-SSD-240GB-VGA-Nvidia-GeForce-820M-LCD-156-inch-i.1507141073.26685801315
Laptop nhỏ gọn màn 12inch Dell 7290 Core i5 8250U Ram 8G SSD 256G Mỏng nhẹ Đẹp Keng Thời trang - Máy Tính Chạy 24/24,4875834,2,Shop_ID_10859239,10859239,https://shopee.vn/Laptop-nh-gn-mn-12inch-Dell-7290-Core-i5-8250U-Ram-8G-SSD-256G-Mng-nh-p-Keng-Thi-trang---My-Tnh-Chy-2424-i.10859239.22759969926
"Dell Latitude 6430,Laptop Dell E6430 Core i5-3220M/4GB/SSD 120GB/VGA/14inch HD, laptop lướt giá rẻ",1950000,21,Shop_ID_1137481024,1137481024,https://shopee.vn/Dell-Latitude-6430Laptop-Dell-E6430-Core-i5-3220M4GBSSD-120GBVGA14inch-HD-laptop-lt-gi-r-i.1137481024.24283844137
"[Chỉ GH tận nơi] Asus Vivobook 15 X1502VA-BQ886W i7-13620H/16GB/512GB/15.6"" FHD/Win11",19930000,54,Shop_ID_1431261217,1431261217,https://shopee.vn/Ch-GH-tn-ni-Asus-Vivobook-15-X1502VA-BQ886W-i7-13620H16GB512GB156-FHDWin11-i.1431261217.26937818974
Laptop Lenovo Thinkpad X1 Carbon Gen 6 core i5-8250U/ 8GB/ 256GB/ 14inch FullHD,6150000,1,Shop_ID_25826246,25826246,https://shopee.vn/Laptop-Lenovo-Thinkpad-X1-Carbon-Gen-6-core-i5-8250U-8GB-256GB-14inch-FullHD-i.25826246.54750147016
Laptop Gaming Core i5 Ram 6G SSD Online BH 12 Tháng,3700000,0,Shop_ID_52087365,52087365,https://shopee.vn/Laptop-Gaming-Core-i5-Ram-6G-SSD-Online-BH-12-Thng-i.52087365.26859695213
"Laptop Asus Vivobook E1404FA-EB482W R5-7520U/16GB/512GB/14.0""FHD/Win11-Hàng New 100% Chính Hãng",13500000,0,Shop_ID_82550480,82550480,https://shopee.vn/Laptop-Asus-Vivobook-E1404FA-EB482W-R5-7520U16GB512GB140FHDWin11-Hng-New-100-Chnh-Hng-i.82550480.44607109761
"🌟 DELL LATITUDE 7290 i5th8– LAPTOP DOANH NHÂN “CHẤT” NHƯ NƯỚC CẤT! 🌟 💰 Giá chưa đến 4 triệu –Nhỏ gọn, mạnh mẽ, pin trâu",3990000,7,Shop_ID_18675286,18675286,https://shopee.vn/DELL-LATITUDE-7290-i5th8-LAPTOP-DOANH-NHN-CHT-NH-NC-CT---Gi-cha-n-4-triu-Nh-gn-mnh-m-pin-tru-i.18675286.28375074247
[HCM] Laptop Cũ HP Envy 15-j123TX Core I5-4200M/ Ram 8GB/ SSD 256GB/ VGA Nvidia GeForce GT 740M/ LCD 14.0'' inch,4400000,0,Shop_ID_1507141073,1507141073,https://shopee.vn/HCM-Laptop-C-HP-Envy-15-j123TX-Core-I5-4200M-Ram-8GB-SSD-256GB-VGA-Nvidia-GeForce-GT-740M-LCD-140-inch-i.1507141073.26135924178
"[Giá rẻ nhất] Laptop Dell 7400 Core i7 -8th /Ram 16Gb/SSD 256Gb, FHD Mới 99%",7500000,1,Shop_ID_25826246,25826246,https://shopee.vn/Gi-r-nht-Laptop-Dell-7400-Core-i7--8th-Ram-16GbSSD-256Gb-FHD-Mi-99-i.25826246.40526723670
Laptop Dell Vostro 14-5480 mỏng nhẹ đẹp - có card đồ hoạ rời chiến game làm đồ hoạ ok,4800000,0,Shop_ID_12945651,12945651,https://shopee.vn/Laptop-Dell-Vostro-14-5480-mng-nh-p---c-card--ho-ri-chin-game-lm--ho-ok-i.12945651.23613974677
Laptop Lenovo Legion 5 Pro 2023 - Ryzen 9-7945HX  RAM 16G SSD 1TB  RTX 4060  Màn 16 Inch 2K 240Hz,31800000,2,Shop_ID_1326205420,1326205420,https://shopee.vn/Laptop-Lenovo-Legion-5-Pro-2023---Ryzen-9-7945HX--RAM-16G-SSD-1TB--RTX-4060--Mn-16-Inch-2K-240Hz-i.1326205420.29767074139
"Laptop gía rẻ, máy tính xách tay phổ thông i3 i5 i7 các hãng Dell HP Lenovo Acer Asus Fujitsu Toshiba và nhiều hãng khác",1880000,0,Shop_ID_159645906,159645906,https://shopee.vn/Laptop-ga-r-my-tnh-xch-tay-ph-thng-i3-i5-i7-cc-hng-Dell-HP-Lenovo-Acer-Asus-Fujitsu-Toshiba-v-nhiu-hng-khc-i.159645906.41678843740
Laptop xách tay màu trắng Gaming HP i5 Ram 8G Ssd 128gb Bảo Hành 12/2025,3700000,0,Shop_ID_52087365,52087365,https://shopee.vn/Laptop-xch-tay-mu-trng-Gaming-HP-i5-Ram-8G-Ssd-128gb-Bo-Hnh-122025-i.52087365.28430156516
Laptop core 2 Core i3 Core i5 giá rẻ hợp túi tiền phục vụ Học tập giải trí,1548794,12,Shop_ID_10859239,10859239,https://shopee.vn/Laptop-core-2-Core-i3-Core-i5-gi-r-hp-ti-tin-phc-v-Hc-tp-gii-tr-i.10859239.19988957346
HP PAVILION LAPTOP 14 INTEL CORE I3 7100U RAM 8G SSD 256G 14INCH FULLHD,4500000,0,Shop_ID_79999990,79999990,https://shopee.vn/HP-PAVILION-LAPTOP-14-INTEL-CORE-I3-7100U-RAM-8G-SSD-256G-14INCH-FULLHD-i.79999990.41856182725
Micorsoft Surface Pro 5 Core i5-7300U l Ram 8GB l SSD 256GB - Tablet Laptop 2in1 Cảm Ứng - Tặng Kèm Túi Chống Sốc,4900000,87,Shop_ID_250887560,250887560,https://shopee.vn/Micorsoft-Surface-Pro-5-Core-i5-7300U-l-Ram-8GB-l-SSD-256GB---Tablet-Laptop-2in1-Cm-ng---Tng-Km-Ti-Chng-Sc-i.250887560.43365469249
Dell Latitude 7320 i7 1180G7 Detachable 13-Inch FHD+ cảm ứng tách rời phím,16489000,6,Shop_ID_196126372,196126372,https://shopee.vn/Dell-Latitude-7320-i7-1180G7-Detachable-13-Inch-FHD-cm-ng-tch-ri-phm-i.196126372.29463568125
Laptop Gaming Acer Nitro V ProPanel ANV15-52-74UM GeForce RTX™ 3050 6GB / Core 7 240H / 16GB/ 512GB,31690000,0,Shop_ID_383770348,383770348,https://shopee.vn/Laptop-Gaming-Acer-Nitro-V-ProPanel-ANV15-52-74UM-GeForce-RTX-3050-6GB--Core-7-240H--16GB-512GB-i.383770348.47506601245
ASUS TUF GAMING FX505 CORE I5 8300H RAM 8G SSD 512G 15.6INCH FHD VGA 4GB,7900000,8,Shop_ID_79999990,79999990,https://shopee.vn/ASUS-TUF-GAMING-FX505-CORE-I5-8300H-RAM-8G-SSD-512G-156INCH-FHD-VGA-4GB-i.79999990.26286795362
DELL PRECISION 5520 XEON E3-1505M RAM 16G SSD 512G 15.6INCH FHD IPS VGA 4GB,10500000,4,Shop_ID_79999990,79999990,https://shopee.vn/DELL-PRECISION-5520-XEON-E3-1505M-RAM-16G-SSD-512G-156INCH-FHD-IPS-VGA-4GB-i.79999990.29866724204
Laptop Lenovo Thinkpad L390 | I3/I5 THẾ HỆ (GEN) 8/10 | Ram 8GB | SSD 256GB | 13.3 inch,4960999,0,Shop_ID_16449163,16449163,https://shopee.vn/Laptop-Lenovo-Thinkpad-L390--I3I5-TH-H-GEN-810--Ram-8GB--SSD-256GB--133-inch-i.16449163.44078876610
HP probook 450-G10 core i5-1335U 13th GEN. 2.5GHz đồ hoạ Iris Xe 16GB RAM 512GB SSD Win11 Pro,10500000,1,Shop_ID_1029988597,1029988597,https://shopee.vn/HP-probook-450-G10-core-i5-1335U-13th-GEN-25GHz--ho-Iris-Xe-16GB-RAM-512GB-SSD-Win11-Pro-i.1029988597.26639314287
Thinkpad T470 -  i5-7300U  –Gon Nhẹ –Doanh Nhân – Siêu Bền - Viền mỏng– Hợp Thời,4990000,7,Shop_ID_155891360,155891360,https://shopee.vn/Thinkpad-T470----i5-7300U--Gon-Nhe-Doanh-Nhn--Siu-Bn---Vin-mong-Hp-Thi-i.155891360.43209426016
"Laptop Acer E1-571 cpu i3-3110M ram 4GB ổ cứng 500GB dùng cho văn phòng, học tập chơi game tốt",2200000,0,Shop_ID_227026239,227026239,https://shopee.vn/Laptop-Acer-E1-571-cpu-i3-3110M-ram-4GB--cng-500GB-dng-cho-vn-phng-hc-tp-chi-game-tt-i.227026239.20421488975
"LAPTOP GAMING ASUS STRIX 15 GL503GE, I7-8750H, 8G, SSD 128G & HDD 500G,GTX 1050Ti 4G,MÀN 15.6IN FHD IPS 120Hz, LED 7 MÀU",8000000,0,Shop_ID_250780405,250780405,https://shopee.vn/LAPTOP-GAMING-ASUS-STRIX-15-GL503GE-I7-8750H-8G-SSD-128G--HDD-500GGTX-1050Ti-4GMN-156IN-FHD-IPS-120Hz-LED-7-MU-i.250780405.57856735900
"Laptop Lenovo G40-30 sử dụng cho văn phòng, in hoá đơn online, học online",1760000,6,Shop_ID_224768122,224768122,https://shopee.vn/Laptop-Lenovo-G40-30-s-dng-cho-vn-phng-in-ho-n-online-hc-online-i.224768122.26112394632
LAPTOP VĂN PHÒNG-DELL INSPIRON 5458 CORE I3 5005U RAM 8G SSD 128G 14INCH,3800000,2,Shop_ID_79999990,79999990,https://shopee.vn/LAPTOP-VN-PHNG-DELL-INSPIRON-5458-CORE-I3-5005U-RAM-8G-SSD-128G-14INCH-i.79999990.27203279858
Laptop cũ Asus giá rẻ (Ram 4GB / 120GB HDD ) | Qua sử dụng,1500000,96,Shop_ID_78809155,78809155,https://shopee.vn/Laptop-c-Asus-gi-r-Ram-4GB--120GB-HDD---Qua-s-dng-i.78809155.5000077661
Máy tính Dell i7 Laptop Gaming i7 ram 8G Ssd bảo hành 12 tháng,3700000,0,Shop_ID_52087365,52087365,https://shopee.vn/My-tnh-Dell-i7-Laptop-Gaming-i7-ram-8G-Ssd-bo-hnh-12-thng-i.52087365.43463586999
Laptop CMS văn phòng cực bền thanh lý văn phòng,1599000,3,Shop_ID_38429506,38429506,https://shopee.vn/Laptop-CMS-vn-phng-cc-bn-thanh-l-vn-phng-i.38429506.750960823
Dell inspiron 5501 Core i7 1065G7/ Ram 16Gb/ SSD Mvme 512Gb/ Nvidia MX330/ 15.6'' IPS FHD/ BH 1 năm.,12550000,2,Shop_ID_504512,504512,https://shopee.vn/Dell-inspiron-5501-Core-i7-1065G7-Ram-16Gb-SSD-Mvme-512Gb-Nvidia-MX330-156-IPS-FHD-BH-1-nm-i.504512.23143776310
ASUS ROG STRIX G513IH AMD RYZEN 7 4800H RAM 16G SSD 512G 15.6INCH 144HZ GTX 1650,13300000,11,Shop_ID_79999990,79999990,https://shopee.vn/ASUS-ROG-STRIX-G513IH-AMD-RYZEN-7-4800H-RAM-16G-SSD-512G-156INCH-144HZ-GTX-1650-i.79999990.55653842032
LAPTOP  ASUS VIVOBOOK X530FN/I7 8565/8G/SSD 256G/MÀN 15.6IN FHD IPS TRÀN VIỀN/PHÍM LED/VỎ KIM LOẠI/PIN 2H/FULL&ZIN,5300000,0,Shop_ID_250780405,250780405,https://shopee.vn/LAPTOP--ASUS-VIVOBOOK-X530FNI7-85658GSSD-256GMN-156IN-FHD-IPS-TRN-VINPHM-LEDV-KIM-LOIPIN-2HFULLZIN-i.250780405.48255485266
LAPTOP ASUS GAMING N550LF CORE I7 4500U RAM 8G SSD 256G 15.6INCH VGA ĐÈN PHÍM,5800000,2,Shop_ID_79999990,79999990,https://shopee.vn/LAPTOP-ASUS-GAMING-N550LF-CORE-I7-4500U-RAM-8G-SSD-256G-156INCH-VGA-N-PHM-i.79999990.26850270355
Laptop Nhập Khẩu Nhật - Mỹ Dell Latitude 7490 E7490 i5-8250U RAM 16GB SSD Nvme 256GB Màn hình 14' FullHD,5390000,9,Shop_ID_10859239,10859239,https://shopee.vn/Laptop-Nhp-Khu-Nht---M-Dell-Latitude-7490-E7490-i5-8250U-RAM-16GB-SSD-Nvme-256GB-Mn-hnh-14-FullHD-i.10859239.28493133182
[FLASH SALE] Laptop Xách Tay Dell Latitude 5300 i3 8145U vPro | 8GB/ 256/512GB SSD | 13.3 inch,6277777,0,Shop_ID_81687671,81687671,https://shopee.vn/FLASH-SALE-Laptop-Xch-Tay-Dell-Latitude-5300-i3-8145U-vPro--8GB-256512GB-SSD--133-inch-i.81687671.28865701530
Laptop Dell Latitude 7480 Core i7 Ram 16G SSD 256 Full HD đẹp keeng 99% Hàng Nhập Mỹ Phím Led,5999000,179,Shop_ID_796323094,796323094,https://shopee.vn/Laptop-Dell-Latitude-7480-Core-i7-Ram-16G-SSD-256-Full-HD-p-keeng-99-Hng-Nhp-M-Phm-Led-i.796323094.20720431565
Laptop dell siêu chất thích hợp anh chị cần máy đẹp - giá rẻ - bền,2800000,0,Shop_ID_1253076748,1253076748,https://shopee.vn/Laptop-dell-siu-cht-thch-hp-anh-ch-cn-my-p---gi-r---bn-i.1253076748.28181128110
Thanh Lý Laptop Lenovo Ideapad 3 15IIL05 cảm ứng mượt như Ipad,8000000,0,Shop_ID_1253076748,1253076748,https://shopee.vn/Thanh-L-Laptop-Lenovo-Ideapad-3-15IIL05-cm-ng-mt-nh-Ipad-i.1253076748.26701163285
Laptop HP Probook 450 G8: i7-1165G7/16gbRam/256SSD/15.6inch,7800000,3,Shop_ID_161665419,161665419,https://shopee.vn/Laptop-HP-Probook-450-G8-i7-1165G716gbRam256SSD156inch-i.161665419.47906965452
"Laptop Acer E1-571 cpu i3-3110M ram 4GB ổ cứng 500GB dùng cho văn phòng, học tập chơi game tốt",2200000,0,Shop_ID_227026239,227026239,https://shopee.vn/Laptop-Acer-E1-571-cpu-i3-3110M-ram-4GB--cng-500GB-dng-cho-vn-phng-hc-tp-chi-game-tt-i.227026239.20421488975
Asus Vivobook 14 A412 A412F A412D X412 X412D X412F X412U F412,430000,2,Shop_ID_677135516,677135516,https://shopee.vn/Asus-Vivobook-14-A412-A412F-A412D-X412-X412D-X412F-X412U-F412-i.677135516.26257128206
"Laptop cũ HP Probook 6570B Core i5 3320M RAM 4GB - HDD 320GB , Nhập Khẩu Mỹ , Laptop Giá rẻ , Bảo hành 12 tháng",2200000,3,Shop_ID_96461069,96461069,https://shopee.vn/Laptop-c-HP-Probook-6570B-Core-i5-3320M-RAM-4GB---HDD-320GB--Nhp-Khu-M--Laptop-Gi-r--Bo-hnh-12-thng-i.96461069.4544208548
LAPTOP ACER NITRO 5 CORE I5 8300H RAM 16GB SSD 512G 15.6INCH FHD GTX 1050,7800000,6,Shop_ID_79999990,79999990,https://shopee.vn/LAPTOP-ACER-NITRO-5-CORE-I5-8300H-RAM-16GB-SSD-512G-156INCH-FHD-GTX-1050-i.79999990.24631160165
"Laptop Gaming ACER intel i5 giá rẻ bảo hành 12 tháng-văn phòng, học tập, làm việc",3500000,0,Shop_ID_52087365,52087365,https://shopee.vn/Laptop-Gaming-ACER-intel-i5-gi-r-bo-hnh-12-thng-vn-phng-hc-tp-lm-vic-i.52087365.43906819755
"[SALE SỐC] Laptop Lenovo Yoga Slim 7 14IIL05 core i5-1035G4, RAM 8GB, SSD 256GB  Win10.(Cũ)",9325000,3,Shop_ID_38577157,38577157,https://shopee.vn/SALE-SC-Laptop-Lenovo-Yoga-Slim-7-14IIL05-core-i5-1035G4-RAM-8GB-SSD-256GB--Win10C-i.38577157.28169249857
"[Chỉ GH tận nơi] Laptop Acer Aspire Lite 14 Gen2 AL14-52M-32KV i3-1305U/8GB/256GB/14"" WUXGA/Win11",12890000,46,Shop_ID_1431261217,1431261217,https://shopee.vn/Ch-GH-tn-ni-Laptop-Acer-Aspire-Lite-14-Gen2-AL14-52M-32KV-i3-1305U8GB256GB14-WUXGAWin11-i.1431261217.40255772370
"HP NOTEBOOK 14-AM060TU, CHIP THẾ HỆ MỚI 2017, RAM 4GB-500GB, NGUYÊN TEM ZIN",1800000,5,Shop_ID_72977012,72977012,https://shopee.vn/HP-NOTEBOOK-14-AM060TU-CHIP-TH-H-MI-2017-RAM-4GB-500GB-NGUYN-TEM-ZIN-i.72977012.25083278317
SONY VAIO VJPG11C11N /Core i5 8250U /RAM 8GB /SSD 256GB / 12.5 inch Full HD mỏng nhẹ,4190000,0,Shop_ID_85227202,85227202,https://shopee.vn/SONY-VAIO-VJPG11C11N-Core-i5-8250U-RAM-8GB-SSD-256GB--125-inch-Full-HD-mng-nh-i.85227202.46156600880
Laptop Dell Vostro 14-5480 mỏng nhẹ đẹp - có card đồ hoạ rời chiến game làm đồ hoạ ok,4800000,0,Shop_ID_12945651,12945651,https://shopee.vn/Laptop-Dell-Vostro-14-5480-mng-nh-p---c-card--ho-ri-chin-game-lm--ho-ok-i.12945651.23613974677
LAPTOP DELL LATITUDE 3390 2 IN 1,5200000,0,Shop_ID_526818322,526818322,https://shopee.vn/LAPTOP-DELL-LATITUDE-3390-2-IN-1-i.526818322.55551453459
"Laptop cũ học tập, chơi game Core i3 i5 các hãng Ram 4gb - 8gb",1899000,16,Shop_ID_1198982361,1198982361,https://shopee.vn/Laptop-c-hc-tp-chi-game-Core-i3-i5-cc-hng-Ram-4gb---8gb-i.1198982361.28986808199
Laptop gaming Acer Aspire 5 15 (A515-58GM),13800000,0,Shop_ID_1736066242,1736066242,https://shopee.vn/Laptop-gaming-Acer-Aspire-5-15-A515-58GM-i.1736066242.40929140952
LAPTOP ASUS GAMING N550LF CORE I7 4500U RAM 8G SSD 256G 15.6INCH VGA ĐÈN PHÍM,5800000,2,Shop_ID_79999990,79999990,https://shopee.vn/LAPTOP-ASUS-GAMING-N550LF-CORE-I7-4500U-RAM-8G-SSD-256G-156INCH-VGA-N-PHM-i.79999990.26850270355
Laptop toshiba màn 12” siêu mỏng nhẹ cấu hình cao,1650000,0,Shop_ID_90215805,90215805,https://shopee.vn/Laptop-toshiba-mn-12-siu-mng-nh-cu-hnh-cao-i.90215805.23137683362
Dell Latitude 3590 Core™ i5 | Core™ i3 | 8250U | Ram 8G | SSD 256G | HD Graphics 620 |MH 15.6,5100000,71,Shop_ID_970204172,970204172,https://shopee.vn/Dell-Latitude-3590-Core-i5--Core-i3--8250U--Ram-8G--SSD-256G--HD-Graphics-620-MH-156-i.970204172.24209932920
"Laptop Lenovo ThinkPad X13 Yoga Gen 2 (CPU Gen11, cảm ứng xoay gập 360°, bút cảm ứng, mỏng nhẹ)",6999000,4,Shop_ID_369728693,369728693,https://shopee.vn/Laptop-Lenovo-ThinkPad-X13-Yoga-Gen-2-CPU-Gen11-cm-ng-xoay-gp-360-bt-cm-ng-mng-nh-i.369728693.29811681159
"[VỎ NHÔM] Lenovo Chromebook C340-15 81T9- Màn Cảm Ứng 15.6"" 360 độ - Giải Trí 4K Cực Mượt",3300000,0,Shop_ID_144597753,144597753,https://shopee.vn/V-NHM-Lenovo-Chromebook-C340-15-81T9--Mn-Cm-ng-156-360----Gii-Tr-4K-Cc-Mt-i.144597753.49357050210
"Laptop Thinkpad X1 Yoga Gen 4 2in1 i7-8665u/ Ram 16Gb/ SSD 512Gb/ Màn 14.0"" FHD touch( Tặng kèm bút theo máy)",10750000,2,Shop_ID_102078029,102078029,https://shopee.vn/Laptop-Thinkpad-X1-Yoga-Gen-4-2in1-i7-8665u-Ram-16Gb-SSD-512Gb-Mn-140-FHD-touch-Tng-km-bt-theo-my-i.102078029.28138928877
Laptop văn phòng Asus notebook P1412CE Core i5-1135G7 mạnh mẽ,5390000,2,Shop_ID_94666867,94666867,https://shopee.vn/Laptop-vn-phng-Asus-notebook-P1412CE-Core-i5-1135G7-mnh-m-i.94666867.44105835284
Laptop Dell Latitudel 6430 i5/Ram4G Nhập khẩu 100% Japan full box zin all bảo hành 12 tháng,2100000,5,Shop_ID_96461069,96461069,https://shopee.vn/Laptop-Dell-Latitudel-6430-i5Ram4G-Nhp-khu-100-Japan-full-box-zin-all-bo-hnh-12-thng-i.96461069.1647632610
